1000 3400
30:0.030878 36:0.034079 50:0.033118 59:0.032279 68:0.030887 156:0.030234 228:0.034465 290:0.053702 317:0.051554 334:0.039365 349:0.030984 453:0.033394 488:0.045377 517:0.048195 537:0.121068 555:0.032846 557:0.033500 602:0.071196 663:0.069703 745:0.033823 746:0.034270 749:0.058753 752:0.037603 769:0.104429 777:0.121043 877:0.031150 969:0.063215 991:0.030027 1042:0.032642 1084:0.030339 1171:0.065878 1194:0.050198 1212:0.034542 1276:0.033551 1449:0.037942 1555:0.035030 1557:0.038039 1558:0.045384 1560:0.043514 1577:0.036363 1584:0.033657 1615:0.033857 1616:0.048214 1627:0.039372 1746:0.029381 1752:0.031539 1768:0.045217 1773:0.045053 1787:0.076115 1816:0.044996 1817:0.044954 1827:0.055214 1955:0.034598 2047:0.035746 2110:0.051009 2158:0.126956 2257:0.031390 2260:0.103191 2261:0.207604 2262:0.107258 2281:0.040492 2284:0.033176 2384:0.031256 2449:0.333372 2450:0.041908 2481:0.030065 2593:0.037814 2611:0.043513 2633:0.045020 2649:0.050115 2683:0.039607 2685:0.328956 2714:0.031325 2775:0.032932 2814:0.032442 2818:0.038893 2892:0.055558 2902:0.032614 2904:0.031446 2960:0.058527 3013:0.029744 3020:0.038410 3035:0.078499 3054:0.034085 3060:0.196401 3065:0.253584 3068:0.165367 3069:0.063100 3070:0.074947 3071:0.181212 3090:0.058306 3110:0.030953 3124:0.036448 3158:0.045669 3184:0.036454 3278:0.044592 3279:0.116647 3321:0.198119 3327:0.993019 3331:0.030479
22:0.026051 36:0.037436 49:0.026684 59:0.027373 115:0.027288 154:0.025873 190:0.040598 191:0.040810 266:0.039374 268:0.179566 283:0.028061 290:0.030459 314:0.026814 315:0.054401 318:0.030466 408:0.031922 543:0.081304 544:0.026932 545:0.079726 676:0.031355 704:0.087481 708:0.034743 756:0.030408 757:0.039396 766:0.031231 769:0.150398 774:0.027036 777:0.143358 778:0.053884 787:0.044551 788:0.026173 797:0.028354 848:0.026050 849:0.047677 883:0.120899 929:0.043837 937:0.034241 938:0.027127 953:0.032217 970:0.028662 994:0.039128 995:0.025858 1006:0.076236 1011:0.036877 1068:0.026150 1084:0.025659 1110:0.030648 1154:0.026088 1171:0.031918 1176:0.032637 1195:0.026119 1417:0.033397 1481:0.026558 1518:0.025517 1543:0.041120 1584:0.141049 1627:0.027087 1719:0.025751 1742:0.031709 1791:0.030291 1801:0.027755 1845:0.070517 1894:0.025730 1905:0.045077 1922:0.045961 1963:0.026169 1964:0.026240 1989:0.025694 2009:0.048545 2071:0.074113 2104:0.031457 2119:0.028339 2130:0.026214 2145:0.039043 2150:0.026807 2406:0.025723 2407:0.040351 2447:0.043556 2561:0.026276 2571:0.031581 2573:0.453181 2574:0.026854 2680:0.027992 2684:0.032831 2685:0.122802 2710:0.074375 2782:0.026044 2788:0.044400 2911:0.043783 2990:0.027924 2996:0.032802 3057:0.051608 3075:0.029533 3096:0.065111 3107:0.032002 3185:0.026303 3207:0.037974 3217:0.032303 3321:0.159711 3327:0.982631
30:0.109490 97:0.106583 241:0.044781 265:0.046731 290:0.117037 291:0.093818 341:0.059817 433:0.036822 438:0.091482 483:0.039153 491:0.180377 493:0.040754 505:0.037294 576:0.037544 579:0.112041 723:0.097435 797:0.068229 832:0.038697 861:0.058883 896:0.299534 1097:0.038190 1152:0.048563 1179:0.044324 1269:0.039916 1271:0.041244 1330:0.038697 1370:0.068089 1377:0.083455 1379:0.078993 1481:0.039707 1503:0.053960 1504:0.041752 1581:0.039294 1627:0.467261 1671:0.056180 1694:0.088144 1725:0.036877 1758:0.112780 1781:0.203147 1866:0.495390 1918:0.049437 1951:0.092398 1952:0.040476 1958:0.061858 1963:0.091513 1976:0.187441 2000:0.110447 2042:0.057169 2090:0.039787 2104:0.076518 2145:0.148371 2181:0.037527 2186:0.045664 2225:0.040778 2227:0.063849 2267:0.078834 2281:0.042482 2294:0.049012 2384:0.046426 2389:0.071633 2417:0.322779 2421:0.043911 2426:0.040925 2428:0.069047 2447:0.411456 2598:0.043151 2599:0.037296 2600:0.041166 2607:0.050583 2609:1.000000 2637:0.142348 2649:0.195811 2661:0.038865 2685:0.290856 2696:0.129523 2710:0.260929 2714:0.037067 2788:0.097818 2803:0.038762 2849:0.037302 2878:0.066683 2898:0.048398 2906:0.049917 2910:0.058067 2949:0.155102 2981:0.037449 3015:0.039592 3079:0.036804 3097:0.038184 3102:0.038827 3116:0.093522 3174:0.040776 3230:0.037758 3321:0.586555 3327:0.999897 3340:0.039886 3361:0.040056 3371:0.048117 3372:0.055282 3373:0.303636
10:0.028921 19:0.028299 20:0.030972 30:0.031762 58:0.041877 79:0.028043 141:0.030984 158:0.039552 204:0.034943 207:0.035226 235:0.030344 284:0.087103 290:0.037118 302:0.027934 341:0.034013 344:0.027697 362:0.028762 392:0.163113 433:0.028729 445:0.026821 463:0.096537 483:0.027654 491:0.037688 516:0.030252 556:0.026795 600:0.028556 657:0.044637 736:0.026721 737:0.029922 809:0.030301 861:0.031608 896:0.040823 955:0.027611 969:0.034296 1072:0.033378 1073:0.078598 1094:0.027785 1096:0.033475 1097:0.029262 1152:0.036217 1209:0.047850 1315:0.026855 1318:0.052304 1319:0.032610 1330:0.359432 1331:0.026987 1335:0.047399 1377:0.027281 1417:0.056459 1449:0.029616 1627:0.211972 1650:0.031896 1707:0.028634 1758:0.029999 1781:0.111411 1810:0.027773 1929:0.032340 1974:0.037435 1976:0.082131 1993:0.030506 1999:0.027211 2047:0.028322 2090:0.078129 2152:0.027619 2163:0.027249 2186:0.183354 2187:0.066349 2203:0.042318 2271:0.028918 2280:0.030088 2417:0.102121 2429:0.026918 2447:0.030896 2507:0.032919 2628:0.031272 2637:0.031593 2685:0.038163 2710:0.166757 2792:0.029136 2797:0.028092 2798:0.031255 2803:0.032846 2851:0.038304 2898:0.060018 2909:0.030460 2951:0.032011 3072:0.054669 3079:0.027435 3091:0.046208 3149:0.045891 3187:0.114189 3201:0.059274 3217:0.028712 3253:0.049308 3257:0.030587 3316:0.029782 3321:0.797796 3327:0.989649 3371:0.030927 3373:0.051097
15:0.022201 67:0.029537 109:0.026273 110:0.025621 111:0.066523 162:0.021937 266:0.022260 268:0.041349 269:0.028352 284:0.025189 290:0.076608 293:0.022776 323:0.110308 374:0.021485 458:0.028164 463:0.025209 490:0.021039 581:0.021722 597:0.063877 626:0.022557 826:0.044799 909:0.023749 971:0.021075 994:0.028047 1011:0.026237 1018:0.024868 1054:0.022328 1117:0.029232 1124:0.156221 1177:0.033168 1202:0.028542 1212:0.021209 1213:0.036735 1257:0.026748 1282:0.022544 1400:0.040814 1417:0.021203 1492:0.023716 1496:0.025265 1497:0.024821 1498:0.022900 1538:0.028958 1549:0.038574 1658:0.033527 1693:0.030853 1694:0.028426 1697:0.023711 1746:0.029793 1781:0.102389 1922:0.026709 1984:0.024292 2005:0.025014 2040:0.024109 2041:0.026700 2042:0.025558 2064:0.023474 2071:0.160905 2073:0.030750 2075:0.024506 2180:0.021171 2241:0.021421 2248:0.027508 2315:0.024458 2317:0.021499 2345:0.030686 2384:0.025189 2438:0.021407 2453:0.051401 2456:0.068770 2457:0.046906 2462:0.184286 2545:0.042168 2564:0.022291 2622:0.027944 2685:0.205126 2710:0.100118 2714:0.023855 2716:0.031205 2755:0.033165 2775:0.026846 2788:0.514943 2871:0.021119 2933:0.129352 2995:0.023908 2996:0.021644 3062:0.021729 3079:0.031110 3091:0.025371 3096:0.025306 3110:0.026575 3128:0.051983 3168:0.061943 3210:0.021998 3230:0.036503 3271:0.024782 3278:0.021158 3296:0.026961 3321:0.346153 3327:0.852287 3369:0.030652
30:0.029592 37:0.027825 57:0.027748 65:0.036361 93:0.030161 284:0.128297 369:0.027875 419:0.044682 489:0.030763 491:0.063841 555:0.034787 591:0.080610 592:0.035596 648:0.034901 649:0.086542 650:0.200358 652:0.039329 657:0.027608 678:0.038976 679:0.101485 725:0.028732 762:0.031857 861:0.028183 893:0.035779 896:0.042467 955:0.041364 1023:0.029457 1073:0.036843 1094:0.036565 1188:0.027718 1194:0.056077 1204:0.033077 1205:0.058809 1209:0.029485 1330:0.057222 1381:0.028310 1423:0.035918 1449:0.036479 1503:0.050675 1518:0.030537 1525:0.044231 1557:0.028745 1627:0.179939 1650:0.027516 1675:0.029557 1755:0.033914 1781:0.047359 1862:0.028609 1905:0.035140 1911:0.050273 1922:0.055716 1929:0.031455 1967:0.037914 1976:0.103527 1994:0.027406 1999:0.027892 2000:0.037509 2062:0.027719 2151:0.038491 2184:0.040395 2186:0.037203 2188:0.027700 2203:0.196011 2227:0.039133 2294:0.040701 2315:0.067697 2317:0.027580 2384:0.030917 2417:0.030646 2424:0.033533 2447:0.038110 2496:0.056336 2515:0.028367 2578:0.036649 2628:0.037972 2685:0.168118 2696:0.426535 2697:0.032898 2710:0.044574 2760:0.031191 2785:0.055835 2948:0.033811 3073:0.028202 3079:0.030407 3090:0.033809 3094:0.046390 3099:0.028942 3110:0.028364 3116:0.030480 3123:0.027496 3128:0.036915 3149:0.027236 3174:0.033052 3230:0.028003 3276:0.028764 3321:0.379021 3327:0.777791 3342:0.029527 3373:0.071255 3395:0.028524
22:0.028368 49:0.037635 50:0.036078 98:0.037157 236:0.031375 284:0.104422 293:0.039574 341:0.047598 344:0.087846 362:0.038039 433:0.034517 466:0.034369 483:0.176931 491:0.380792 582:0.028079 630:0.028904 736:0.030467 737:0.036851 746:0.035562 789:0.029821 896:0.040811 953:0.036054 955:0.031186 970:0.066382 994:0.090553 1084:0.035988 1118:0.036919 1204:0.043391 1209:0.027940 1246:0.033074 1257:0.056128 1258:0.041358 1297:0.128987 1318:0.102318 1330:0.048779 1335:0.030839 1437:0.041257 1445:0.072315 1477:0.027658 1544:0.047554 1561:0.027858 1569:0.028125 1609:0.033386 1627:0.070227 1650:0.028156 1674:0.071736 1675:0.057453 1694:0.027887 1707:0.033930 1758:0.068462 1773:0.029189 1836:0.043682 1884:0.037222 1905:0.034640 1929:0.027705 1934:0.036087 1945:0.028803 1974:0.029430 1975:0.038605 1976:0.266717 1993:0.040532 1994:0.036329 2021:0.035912 2186:0.048691 2187:0.041005 2294:0.039823 2295:0.040114 2393:0.040406 2417:0.069149 2447:0.052572 2486:0.033037 2524:0.032697 2649:0.032839 2654:0.062246 2710:0.030039 2750:0.055840 2760:0.030193 2787:0.057601 2792:0.029660 2797:0.051410 2851:0.033865 2861:0.046133 2875:0.034559 2927:0.028272 2979:0.033021 3006:0.033017 3065:0.156387 3074:0.050361 3128:0.029551 3149:0.035354 3172:0.028306 3200:0.027829 3201:0.084262 3230:0.037348 3321:0.501519 3327:0.837121 3361:0.048378 3371:0.056008 3372:0.032701 3373:0.086145
23:0.038321 30:0.093325 107:0.032137 111:0.038099 204:0.033120 228:0.034408 323:0.108727 330:0.074088 331:0.033284 346:0.037559 411:0.030661 426:0.030393 444:0.037558 453:0.032128 489:0.035163 571:0.037645 577:0.034329 580:0.038253 631:0.049402 632:0.069956 634:0.061319 635:0.528396 675:0.036283 798:0.047225 838:0.042712 839:0.037406 904:0.033494 921:0.030886 1117:0.033033 1152:0.055380 1166:0.037462 1167:0.093556 1168:0.040539 1173:0.032559 1194:0.050845 1197:0.125846 1350:0.033093 1377:0.039308 1379:0.036653 1381:0.031766 1417:0.044151 1451:0.033452 1454:0.036594 1557:0.036778 1616:0.033431 1643:0.031045 1679:0.049037 1725:0.058855 1742:0.034554 1746:0.037934 1750:0.031686 1755:0.039529 1815:0.048550 1920:0.035701 1953:0.058207 1963:0.030849 1970:0.042117 2070:0.033144 2078:0.086295 2166:0.037785 2178:0.034588 2180:0.032833 2234:0.038267 2235:0.035667 2236:0.061992 2297:0.100897 2315:0.115025 2326:0.066122 2370:0.033713 2398:0.037961 2399:0.046578 2462:0.869329 2545:0.041559 2547:0.033503 2578:0.032524 2622:0.423729 2651:0.032023 2661:0.040520 2685:0.240036 2687:0.040127 2710:0.076744 2716:0.030506 2761:0.033357 2775:0.030834 2785:0.044973 2786:0.032477 2788:1.000000 2861:0.036353 2933:0.059336 2998:0.033138 3007:0.032910 3065:0.061132 3075:0.034300 3091:0.068040 3123:0.042052 3214:0.048051 3251:0.151650 3292:0.035416 3321:0.338735 3327:0.979060
7:0.026807 19:0.078498 22:0.026044 30:0.034001 57:0.026156 58:0.056636 124:0.046431 129:0.025514 131:0.029228 290:0.053111 303:0.025520 317:0.025326 378:0.057193 379:0.082227 464:0.025322 524:0.024960 537:0.105075 613:0.026589 718:0.030244 721:0.029636 742:0.028097 746:0.026332 749:0.035643 835:0.034657 855:0.025092 863:0.139865 869:0.217387 958:0.032582 972:0.026436 987:0.025576 994:0.034547 1011:0.032229 1137:0.025519 1139:0.122126 1141:0.756565 1142:0.028745 1143:0.028787 1145:0.446204 1146:0.061214 1194:0.057629 1212:0.025633 1238:0.033415 1265:0.026006 1308:0.026601 1309:0.026140 1344:0.779764 1345:0.033775 1346:0.060641 1417:0.030401 1475:0.028079 1512:0.032218 1535:0.053994 1627:0.046336 1654:0.025753 1691:0.029316 1746:0.057046 1773:0.025679 1781:0.061377 1797:0.030428 1798:0.041157 1799:0.041873 1810:0.025984 1909:0.039103 1912:0.042421 2017:0.026197 2033:0.030062 2046:0.030988 2048:0.030822 2163:0.026925 2168:0.502423 2177:0.067799 2271:0.086252 2317:0.028369 2348:0.029515 2481:0.027611 2503:0.029796 2507:0.078088 2588:0.027011 2611:0.036153 2663:0.034391 2665:0.046828 2685:0.492262 2710:0.075210 2714:0.027557 2735:0.030416 2861:0.025389 2898:0.029520 2975:0.025322 2976:0.036212 2996:0.032881 3073:0.029744 3075:0.028781 3123:0.025906 3154:0.025138 3176:0.029001 3221:0.028278 3225:0.104358 3294:0.032824 3321:0.051990 3327:0.612822
22:0.022225 30:0.118947 67:0.040366 134:0.034870 204:0.023218 242:0.022507 268:0.386476 290:0.029221 291:0.023474 318:0.022230 366:0.023937 417:0.030773 503:0.119584 537:0.088585 551:0.026620 576:0.040465 698:0.023472 704:0.033597 732:0.026709 750:0.091628 760:0.024924 766:0.025737 773:0.022492 782:0.023829 909:0.022382 934:0.029166 953:0.040642 969:0.030056 970:0.031906 991:0.022259 994:0.141378 1011:0.362692 1074:0.038381 1075:0.022506 1152:0.029112 1194:0.024816 1263:0.040287 1360:0.040301 1381:0.029432 1417:0.087763 1439:0.048534 1547:0.029063 1658:0.024821 1697:0.022332 1711:0.024728 1832:0.031735 1845:0.025499 1884:0.028336 1905:0.050281 1922:0.028965 2033:0.194289 2084:0.074577 2111:0.023239 2114:0.025829 2120:0.022418 2121:0.022045 2160:0.185417 2161:0.154463 2162:0.037027 2163:0.023125 2218:0.022133 2308:0.028797 2309:0.024445 2324:0.103159 2328:0.025865 2329:0.027727 2331:0.036767 2407:0.026548 2420:0.022830 2438:0.022434 2489:0.027499 2557:0.032256 2571:0.025775 2573:0.467284 2578:0.029227 2579:0.030766 2582:0.022200 2620:0.029146 2684:0.024351 2685:0.122917 2710:0.078625 2818:0.027213 2828:0.040179 2832:0.022761 2911:0.310172 2960:0.075112 2998:0.024195 3036:0.026683 3065:0.046390 3078:0.021942 3079:0.023734 3086:0.025754 3090:0.030820 3204:0.132983 3217:0.024383 3298:0.025198 3321:0.461336 3327:0.683096 3363:0.215233 3384:0.027563
56:0.022521 58:0.024308 94:0.031475 204:0.024961 235:0.024528 236:0.023708 250:0.027371 284:0.116957 290:0.025202 341:0.058938 344:0.056222 362:0.022616 411:0.023199 423:0.022950 456:0.024216 483:0.084334 491:0.290550 594:0.024975 640:0.029640 657:0.040313 736:0.022792 861:0.023247 913:0.026332 946:0.035398 953:0.028150 969:0.022319 994:0.031552 1090:0.036791 1094:0.026423 1152:0.096958 1188:0.033523 1221:0.034248 1236:0.022175 1261:0.022427 1295:0.023091 1318:0.206175 1330:0.060922 1335:0.029213 1377:0.023037 1417:0.031283 1423:0.039291 1449:0.031241 1461:0.024927 1467:0.032972 1477:0.043931 1650:0.024322 1674:0.027012 1675:0.027140 1707:0.023933 1725:0.034318 1781:0.036284 1842:0.026762 1970:0.027280 1975:0.027195 1976:0.176933 2000:0.025398 2085:0.022952 2151:0.029188 2186:0.058741 2187:0.045123 2255:0.058693 2270:0.031071 2294:0.067594 2296:0.023765 2300:0.048094 2417:0.026368 2421:0.022586 2513:0.022218 2628:0.022803 2637:0.022398 2649:0.046558 2654:0.026690 2661:0.026929 2716:0.026437 2773:0.032905 2785:0.025823 2788:0.023063 2792:0.022307 2803:0.027431 2841:0.026887 2842:0.042698 2851:0.022674 2979:0.029632 2982:0.024744 3072:0.052620 3073:0.029813 3110:0.028361 3118:0.027392 3123:0.030023 3125:0.024263 3128:0.039354 3187:0.026638 3201:0.030971 3291:0.024724 3321:0.106682 3327:0.854203 3354:0.030304 3369:0.024664 3371:0.031885 3373:0.065093
30:0.049173 58:0.041472 137:0.048180 138:0.036342 212:0.035856 235:0.036999 266:0.044088 267:0.047826 268:0.040634 290:0.047844 341:0.031107 392:0.038376 433:0.034233 438:0.048239 445:0.032990 458:0.030453 489:0.036307 490:0.031479 582:0.034864 600:0.034906 657:0.032905 735:0.063900 737:0.031119 826:0.032272 865:0.037967 891:0.031894 896:0.032011 1073:0.034874 1077:0.038615 1090:0.040522 1094:0.097842 1204:0.034661 1205:0.054882 1209:0.065973 1219:0.051048 1221:0.077233 1261:0.031192 1318:0.049382 1330:0.133213 1377:0.037979 1531:0.064354 1594:0.032253 1609:0.030903 1627:0.066084 1643:0.037412 1650:0.032721 1654:0.408084 1725:0.036430 1746:0.040852 1758:0.039421 1951:0.035692 1967:0.046096 1974:0.031031 1999:0.032586 2000:0.050718 2090:0.043401 2098:0.053152 2153:0.031286 2165:0.048639 2186:0.043512 2187:0.109699 2201:0.039774 2223:0.030761 2281:0.048135 2315:0.043643 2338:0.034267 2417:0.060132 2454:0.031027 2515:0.030727 2578:0.035250 2584:0.033663 2637:0.033278 2651:0.032992 2685:0.069384 2710:0.033154 2714:0.036588 2736:0.034778 2744:0.030770 2787:0.057385 2788:0.065470 2797:0.043226 2803:0.032620 2840:0.050459 2842:0.128558 2950:0.035964 2951:0.037909 2979:0.037077 3058:0.030604 3072:0.120104 3093:0.036506 3128:0.041041 3149:0.059449 3174:0.031324 3187:0.828075 3192:0.030765 3291:0.031843 3316:0.031078 3321:0.445631 3327:0.970558 3371:0.032990
150:0.026661 252:0.042920 254:0.025993 255:0.032251 257:0.032728 269:0.042096 336:0.551390 353:0.027756 357:0.105624 466:0.029151 488:0.036331 499:0.030155 518:0.032259 570:0.031265 596:0.028104 705:0.203674 706:0.095258 753:0.030045 754:0.051160 765:0.094798 821:0.029616 822:0.066465 823:0.041621 832:0.039212 885:0.027645 910:0.029772 961:0.027326 1002:0.027132 1026:0.042300 1104:0.050724 1113:0.029138 1114:0.088976 1148:0.042366 1191:0.033960 1192:0.089032 1200:0.027648 1298:0.027614 1324:0.032880 1360:0.037624 1391:0.148895 1392:0.076831 1397:0.025906 1417:0.191007 1421:0.026598 1422:0.103940 1453:0.027666 1467:0.056824 1521:0.059061 1537:0.035902 1547:0.032885 1663:0.030107 1693:0.027081 1694:0.027435 1711:0.033174 1742:0.051854 1746:0.063967 1787:0.051274 1804:0.088267 1805:0.028044 1833:0.038003 1871:0.028347 1905:0.031256 1922:0.053468 1943:0.031775 1964:0.101773 2008:0.033568 2090:0.379790 2093:0.037320 2114:0.031251 2190:0.106113 2191:0.129573 2198:0.294115 2203:0.110654 2332:0.030053 2337:0.348580 2487:0.060215 2491:0.034968 2492:0.025949 2685:0.433524 2706:0.031610 2710:0.025893 2723:0.029274 2734:0.027354 2799:0.034067 2911:0.424684 2927:0.027914 2960:0.036022 2986:0.104109 2995:0.026604 3090:0.034388 3136:0.122457 3234:0.044229 3248:0.026147 3249:0.026822 3253:0.845030 3321:0.624157 3327:0.957748 3350:0.083531 3390:0.029202 3394:0.035651
10:0.031008 49:0.033014 57:0.034621 93:0.048590 207:0.040082 212:0.059418 235:0.031135 269:0.040719 284:0.083015 290:0.034016 291:0.058936 300:0.095225 301:0.150000 336:0.034541 362:0.039366 375:0.069377 376:0.095866 397:0.073586 438:0.037443 483:0.047931 491:0.032812 678:0.032374 762:0.041836 764:0.031453 826:0.065433 832:0.034256 896:0.059576 953:0.035131 955:0.039286 1063:0.030682 1090:0.081779 1156:0.033350 1169:0.101075 1170:0.055231 1194:0.097318 1273:0.057881 1377:0.037111 1381:0.032481 1417:0.069541 1430:0.033193 1531:0.031435 1557:0.038178 1566:0.081411 1623:0.039632 1627:0.111931 1694:0.031758 1707:0.044646 1714:0.032087 1722:0.043448 1733:0.040176 1742:0.050431 1766:0.038172 1767:0.044284 1781:0.107855 1842:0.036172 1847:0.057516 1855:0.041859 1877:0.030635 1884:0.058722 1976:0.045016 1994:0.030664 2004:0.036649 2085:0.031649 2115:0.046834 2203:1.000000 2206:0.079610 2208:0.192989 2209:0.039674 2212:0.054258 2213:0.034880 2216:0.033314 2217:0.030644 2230:0.045285 2315:0.032227 2384:0.033923 2417:0.201812 2513:0.057331 2547:0.031774 2637:0.033425 2677:0.040376 2685:0.035077 2714:0.034886 2739:0.031518 2740:0.220388 2873:0.033886 2920:0.045015 2924:0.059294 2972:0.031520 2984:0.038985 3045:0.033835 3057:0.034907 3065:0.050083 3073:0.031266 3128:0.033620 3132:0.033469 3174:0.031039 3201:0.065889 3321:0.327013 3327:0.973988 3354:0.059239
58:0.021892 65:0.021942 93:0.021701 107:0.022361 133:0.030137 159:0.020552 204:0.019553 268:0.032386 282:0.027735 284:0.237704 290:0.027142 302:0.021979 438:0.019839 483:0.027430 489:0.020291 491:0.034827 533:0.230765 590:0.020791 723:0.021998 749:0.053496 782:0.021572 826:0.023414 871:0.284026 872:0.021669 896:0.204855 897:0.019688 969:0.041102 994:0.026069 1011:0.036056 1152:0.246380 1162:0.020820 1188:0.019665 1194:0.022655 1205:0.020641 1313:0.153535 1402:0.167617 1417:0.019492 1437:0.022539 1445:0.019593 1609:0.024826 1614:0.020116 1627:0.025977 1694:0.289473 1697:0.021442 1711:0.182332 1746:0.023603 1781:0.042355 1784:0.195721 1810:0.020999 1877:0.021605 1905:0.032816 1918:0.019505 1922:0.044194 1958:0.021711 1976:0.029004 2000:0.021620 2027:0.210145 2064:0.019882 2090:0.235891 2119:0.024198 2151:0.020394 2315:0.026018 2384:0.019917 2415:0.058316 2417:0.077906 2447:0.434465 2481:0.023548 2530:0.155903 2534:0.020811 2564:0.021706 2609:0.245832 2649:0.023911 2661:0.020876 2685:0.049230 2710:0.039521 2714:0.038962 2785:0.032054 2788:0.058776 2834:0.167812 2942:0.020207 3057:0.073066 3065:0.021712 3078:0.019987 3079:0.020810 3096:0.199886 3099:0.022376 3123:0.020928 3128:0.021265 3217:0.019809 3221:0.026246 3269:0.166932 3278:0.020524 3312:0.020077 3321:0.440410 3327:0.895029 3333:0.021410 3342:0.019633 3354:0.020364 3360:0.021582 3373:0.022578
30:0.038992 57:0.035223 96:0.031995 107:0.032913 124:0.041651 129:0.033642 228:0.036328 291:0.037059 366:0.037011 378:0.031940 379:0.172155 417:0.039125 453:0.029584 455:0.048237 473:0.030098 537:0.701994 568:0.071262 576:0.041614 577:0.032078 676:0.040372 721:0.032006 741:0.036570 751:0.032911 752:0.041628 782:0.051331 834:0.035169 835:0.040103 863:0.032136 869:0.038285 884:0.037322 903:0.053689 904:0.051409 921:0.056262 969:0.113609 1121:0.031238 1138:0.032751 1139:0.042268 1140:0.033896 1141:0.393788 1142:0.042541 1144:0.034486 1145:0.257703 1152:0.050784 1188:0.033106 1194:0.030891 1211:0.055938 1212:0.056960 1265:0.029908 1309:0.029952 1344:1.000000 1345:0.040591 1346:0.079689 1365:0.045317 1420:0.031430 1443:0.051161 1444:0.048108 1481:0.037346 1518:0.053485 1559:0.035590 1563:0.036753 1728:0.038916 1729:0.042478 1791:0.044234 1797:0.038517 1798:0.313629 1799:0.288362 1800:0.062741 1854:0.029745 1884:0.057263 2033:0.046703 2046:0.062687 2048:0.036099 2082:0.047382 2168:0.205887 2348:0.029965 2424:0.030647 2438:0.032577 2524:0.041391 2564:0.033625 2588:0.032120 2611:0.029747 2639:0.040105 2659:0.035509 2665:0.094469 2685:0.240036 2710:0.059563 2714:0.030009 2735:0.033470 2964:0.072417 2975:0.081080 2976:0.041968 3176:0.032520 3225:0.041287 3239:0.043121 3242:0.067977 3246:0.050971 3294:0.042761 3321:0.432837 3327:0.837152 3363:0.073069
0:0.022666 30:0.024231 58:0.034906 96:0.031521 133:0.023094 168:0.042500 242:0.023625 290:0.028285 291:0.051931 351:0.035745 404:0.026129 411:0.026320 505:0.047766 677:0.025110 711:0.065032 745:0.023839 759:0.032724 785:0.031948 797:0.028013 838:0.033589 861:0.022684 912:0.022187 921:0.023704 1151:0.022187 1155:0.026978 1194:0.026643 1212:0.022130 1243:0.038305 1257:0.026686 1272:0.029416 1338:0.037617 1339:0.048033 1350:0.032777 1377:0.028377 1379:0.028566 1417:0.037247 1428:0.027705 1437:0.032311 1451:0.039170 1561:0.024076 1633:0.022723 1676:0.026170 1694:0.046742 1746:0.028496 1750:0.027469 1755:0.027201 1781:0.051597 1884:0.030994 1909:0.022451 1922:0.060294 1926:0.022269 1951:0.022558 1987:0.045365 2045:0.024724 2071:0.065851 2073:0.033803 2088:0.036706 2163:0.025450 2247:0.023485 2248:0.026547 2370:0.023408 2424:0.031849 2438:0.025781 2447:0.695259 2462:0.372879 2547:0.022954 2555:0.025383 2609:0.173895 2622:0.156682 2649:0.041671 2654:0.032083 2655:0.024171 2685:0.455242 2696:0.033788 2710:0.096319 2714:0.025964 2716:0.027787 2785:0.034997 2788:0.691988 2831:0.023776 2871:0.024635 3095:0.023070 3096:0.047342 3099:0.047713 3103:0.030831 3105:0.025373 3110:0.032349 3123:0.029089 3128:0.031292 3207:0.022264 3215:0.027621 3217:0.023648 3251:0.024010 3276:0.025057 3312:0.023683 3321:0.283340 3327:0.996728 3340:0.026436 3345:0.025829 3361:0.032755
65:0.047382 67:0.037569 204:0.027711 209:0.023801 228:0.025178 235:0.054611 284:0.027615 299:0.062890 369:0.027268 374:0.022916 483:0.023617 489:0.029247 490:0.025275 559:0.432288 560:0.135916 657:0.073272 658:0.074797 677:0.027816 745:0.023919 746:0.025032 785:0.049234 815:0.033185 832:0.026960 844:0.028751 969:0.023631 970:0.039584 994:0.026917 1026:0.025805 1035:0.036929 1036:0.024378 1131:0.022990 1148:0.026309 1155:0.034457 1224:0.046150 1330:0.732452 1331:0.023288 1333:0.024630 1334:0.103961 1335:0.041792 1377:0.026489 1381:0.025447 1391:0.086793 1398:0.139281 1399:0.129127 1417:0.028183 1449:0.126203 1518:0.025409 1538:0.032036 1557:0.026701 1627:0.059207 1693:0.030364 1725:0.025457 1729:0.023147 1773:0.038052 1781:0.034824 1931:0.152331 1932:0.053001 1970:0.038706 2090:0.025031 2094:0.028185 2180:0.023494 2186:0.074426 2187:0.225669 2252:0.024468 2453:0.406446 2456:0.836258 2457:0.062982 2467:0.024729 2548:0.023138 2584:0.027782 2643:0.026660 2654:0.022936 2682:0.023326 2685:0.159422 2710:0.120732 2713:0.023251 2714:0.025576 2737:0.025117 2836:0.048911 2879:0.049691 2927:0.023022 2996:0.042764 3062:0.024154 3065:0.046959 3074:0.032616 3078:0.034143 3096:0.028589 3099:0.066496 3110:0.026416 3149:0.039026 3174:0.027568 3207:0.040775 3217:0.033003 3230:0.026267 3253:0.120537 3259:0.025835 3321:0.323333 3325:0.051135 3327:0.727976 3342:0.039335
